Date and time (PDT),Metres
2022-06-09T16:06:00,1.9
2022-06-09T22:48:00,4.2
2022-06-10T05:30:00,1.6
2022-06-10T11:38:00,3.4
2022-06-10T17:00:00,2
2022-06-10T23:28:00,4.5
2022-06-11T06:20:00,1.1
2022-06-11T12:44:00,3.6
2022-06-11T17:53:00,2.1
2022-06-12T00:07:00,4.7
2022-06-12T07:08:00,0.7
2022-06-12T13:39:00,3.9
2022-06-12T18:43:00,2.2
2022-06-13T00:49:00,4.9
2022-06-13T07:57:00,0.3
2022-06-13T14:30:00,4.1
2022-06-13T19:34:00,2.2
2022-06-14T01:32:00,5.1
2022-06-14T08:45:00,0.1
2022-06-14T15:19:00,4.2
2022-06-14T20:25:00,2.2
2022-06-15T02:19:00,5.1
2022-06-15T09:34:00,0
2022-06-15T16:08:00,4.2
2022-06-15T21:16:00,2.2
2022-06-16T03:09:00,5.1
2022-06-16T10:22:00,0
2022-06-16T16:57:00,4.3
2022-06-16T22:10:00,2.2
2022-06-17T04:02:00,4.9
2022-06-17T11:10:00,0.1
2022-06-17T17:48:00,4.2
2022-06-17T23:08:00,2.3
2022-06-18T04:56:00,4.6
2022-06-18T11:58:00,0.4
2022-06-18T18:40:00,4.2
2022-06-19T00:11:00,2.3
2022-06-19T05:54:00,4.3
2022-06-19T12:47:00,0.7
2022-06-19T19:33:00,4.2
2022-06-20T01:21:00,2.3
2022-06-20T06:56:00,3.9
2022-06-20T13:38:00,1.1
2022-06-20T20:28:00,4.2
2022-06-21T02:34:00,2.1
2022-06-21T08:08:00,3.6
2022-06-21T14:32:00,1.5
2022-06-21T21:22:00,4.2
2022-06-22T03:44:00,1.9
2022-06-22T09:34:00,3.4
2022-06-22T15:29:00,1.9
2022-06-22T22:13:00,4.3
2022-06-23T04:47:00,1.7
2022-06-23T11:01:00,3.3
2022-06-23T16:28:00,2.2
2022-06-23T23:00:00,4.3
2022-06-24T05:43:00,1.4
2022-06-24T12:14:00,3.4
2022-06-24T17:24:00,2.4
2022-06-24T23:43:00,4.3
2022-06-25T06:34:00,1.2
2022-06-25T13:11:00,3.6
2022-06-25T18:14:00,2.5
2022-06-26T00:21:00,4.4
2022-06-26T07:20:00,1
2022-06-26T13:58:00,3.7
2022-06-26T18:58:00,2.6
2022-06-27T00:55:00,4.4
2022-06-27T08:02:00,0.9
2022-06-27T14:39:00,3.8
2022-06-27T19:38:00,2.6
2022-06-28T01:26:00,4.4
2022-06-28T08:42:00,0.8
2022-06-28T15:17:00,3.8
2022-06-28T20:14:00,2.6
2022-06-29T01:57:00,4.4
2022-06-29T09:19:00,0.7
2022-06-29T15:53:00,3.9
2022-06-29T20:50:00,2.6
2022-06-30T02:29:00,4.4
2022-06-30T09:54:00,0.7
2022-06-30T16:29:00,3.9
2022-06-30T21:28:00,2.6
2022-07-01T03:05:00,4.3
2022-07-01T10:28:00,0.7
2022-07-01T17:05:00,3.9
2022-07-01T22:08:00,2.6
2022-07-02T03:43:00,4.2
2022-07-02T11:01:00,0.8
2022-07-02T17:41:00,3.9
2022-07-02T22:53:00,2.5
2022-07-03T04:25:00,4.1
2022-07-03T11:35:00,1
2022-07-03T18:19:00,3.9
2022-07-03T23:44:00,2.5
2022-07-04T05:10:00,3.9
